filename,A_HOMO_LUMO,B_HOMO_LUMO,A_Dipole,B_Dipole,mean_CN,mean_NDV,max packing efficiency,density,vpa,packing fraction,SC_atom,SC_cell,E_els,E_x,E_rep,E_orb,E_DFTc,E_dc,polarity
WOGWUL.cif,2.694312,5.930706,5.2306,2.2483,6.468350328,0.337060697,0.078568023,1.768787441,11.30752863,0.107073344,6.169925001,1776.9384,-92.27,-10.98,40.03,-27.61,-5.71,-3.29,0
WUXYUJ01.cif,2.735654,5.808994,5.0818,2.2423,7.321027807,0.305359456,0.081491703,1.593196398,10.62901594,0.098770426,4.95419631,307.1601712,-89.36,-13.16,47.16,-28.95,-5.97,-4.37,0
WUXZAQ.cif,2.786854,5.308354,4.8448,1.9141,7.091845254,0.313459531,0.075051314,1.556062937,10.88266387,0.096468332,4.95419631,614.3203425,-85.31,-8.25,31.13,-20.15,-5.69,-3.9,0
WUXZEU.cif,2.702568,5.40577,4.9909,1.1787,7.388024136,0.318634616,0.073124445,1.552873678,10.90501446,0.096270614,4.95419631,307.1601712,-92.44,-15,54.83,-30.26,-7.45,-6.27,0
WUXZIY.cif,2.778182,5.681167,5.076,3.083,7.161157306,0.314160568,0.076609779,1.559051368,10.8618037,0.096653601,4.95419631,614.3203425,-84.33,-9.85,35.72,-24.1,-5.05,-3.54,0
ionic_CA_2NH2_MeCN.cif,2.70029,4.06535,5.2501,6.5761,6.302887246,0.340400915,0.07878549,1.697204139,10.82794653,0.104334631,5,320,-56.91,-0.87,9.98,-6.4,-3.99,-8.26,1
ionic_CA_PHEN_ETOH_0ma.cif,2.908976,3.959342,4.1969,3.1711,6.322802732,0.338170291,0.076940062,1.630173427,11.01218108,0.102950333,5.169925001,744.4692002,-76.7,-12.48,44.96,-24.44,-6.01,-5.33,1
ionic_LHY_CA_PHEN_150K.cif,2.864423,3.968618,4.3995,3.102,6.331701191,0.335683975,0.07758161,1.642678478,10.92834977,0.103740064,5.169925001,744.4692002,-73.04,-12.44,45.58,-21.11,-6.82,-4.99,1
ionic_PHEN_ACE_0m.cif,2.701226,3.967363,5.2338,3.0945,6.232187517,0.331221448,0.078968411,1.653970969,10.85373644,0.104453219,6.169925001,888.4692002,-68.175,-7.575,30.775,-15.17,-6.45,-8.255,0
neutal_LHY_CA_BQ_20210602_0m.cif,2.932409,3.330188,0.0007,0.9695,6.43505781,0.335433816,0.075943191,1.613349373,11.12701642,0.101887843,5.169925001,372.2346001,-24.445,-14.365,50.105,-17.465,-6.235,-4.235,0
neutal_LHY_CA_QUI_6OH_20210813_0ma.cif,2.922991,4.312575,0.3071,1.3737,6.393173095,0.342052408,0.07927592,1.74202772,10.91991759,0.105874414,4.95419631,307.1601712,-2.92,-1.7,8.01,-1.39,-2.39,-2.65,1
neutal_QUI_6Me_acetone_1_autoPROC_XDS.cif,2.946487,4.567383,0.0024,1.2386,6.777087911,0.324427176,0.076146387,1.613425688,11.01422353,0.100429953,5.044394119,332.9300119,-26.975,-16.24,55.935,-19.63,-6.62,-4.17,0
CA_PQUI_EtOH_0ma.cif,2.875852,3.75958,4.214,2.6327,6.491216721,0.334831622,0.076948923,1.643158432,10.89051236,0.103305444,5.129283017,718.0996224,-84.45,-13.79,49.01,-30.27,-5.82,-4.23,1
CA_PHEN_Cl_20210709_EtOH-1-asy-fragment,2.924884,3.763823,3.9263,5.8274,6.332879859,0.327771169,0.082724891,1.733886564,11.26981496,0.110760021,5.169925001,744.4692002,-68.09,-8.94,33.68,-17.69,-5.8,-4.71,1
LHY_CA_QUI_2Me_EtOAc_150K_20211027_0m-1-asy,2.910664,4.626884,0.0012,0.4116,6.982077869,0.31814665,0.079797571,1.658707083,10.71354392,0.103248557,5.044394119,665.8600238,-22.42,-13.285,46.28,-15.79,-6.035,-4.59,0
neutal_LHY_CA_QUI_23CH3_300K_20211011_0m.cif,2.915385,4.679782,0.1071,0.7983,6.795756048,0.319330043,0.074418188,1.527793105,11.08575266,0.095394883,5.169925001,372.2346001,-22.82,-14.74,51.26,-17.7,-6.27,-5.31,0
