label,t-SNE Feature 1,t-SNE Feature 2
0,-112.16273,8.528456
0,54.84913,-25.65217
0,-113.8057,-28.925257
0,19.323925,42.52007
0,24.539278,77.88032
0,29.684288,86.93073
0,2.4015255,-13.3357315
1,19.72185,-22.590445
0,-15.878889,70.08905
0,-12.892878,75.423454
0,88.9114,29.613537
0,-9.18269,-50.68407
0,26.882357,-12.34926
0,-123.92294,-21.67649
0,-55.608917,3.0966935
0,-31.833153,-48.69924
0,-30.004818,94.47514
0,31.470953,91.36467
0,-138.793,-27.293499
0,-129.65164,-24.57266
1,-21.06618,-66.966515
0,58.86062,-46.001266
0,67.901886,-48.89809
0,-61.97608,-0.1299097
1,-14.464446,-42.630585
0,57.20784,59.19086
0,-29.985313,102.15077
0,-114.74168,-27.12121
0,-71.310715,0.4977704
0,55.815464,-19.47349
0,-44.569073,21.253952
0,-72.73016,23.78176
0,31.849089,51.67852
0,-26.352388,-28.194399
0,-7.2166033,-70.422745
0,-4.0881653,66.859024
0,34.913708,-42.629383
0,-26.401148,85.75113
0,27.544577,-20.902414
1,9.87923,-100.25881
1,42.373833,64.309425
0,-23.818151,-27.76819
1,-25.233486,85.76253
0,-15.970945,75.157455
0,-0.88827294,87.77853
0,-33.05969,104.02617
0,-29.13312,-1.6241885
0,-32.114304,21.801498
0,58.69515,61.140133
0,33.878284,86.039246
0,4.646087,-48.104424
0,44.81054,-29.691088
0,45.749187,55.42756
0,29.846998,-6.6473155
0,29.577131,-87.96244
0,0.73368317,115.65437
0,-62.130444,3.4301414
0,4.5138845,43.87929
0,76.699265,10.23463
1,15.728928,-62.293724
0,14.621335,30.637661
0,40.16647,78.10595
0,-27.104969,18.615759
1,-18.33078,-37.04243
0,31.709295,-43.6368
0,-91.330696,-12.29119
0,70.09494,-49.164932
1,-23.847206,-32.83269
0,-114.599884,-27.754873
0,-101.479805,-4.4620147
0,-100.62726,-34.53566
0,-99.67786,-36.26672
1,-19.713758,-64.99738
0,-21.584229,-16.236906
0,-64.88452,7.5035257
1,-11.507947,17.669113
0,16.089008,105.69453
0,-59.073997,29.635334
0,39.409374,68.77368
1,-87.14971,-53.69793
1,30.652994,-86.80932
