drug_id,t-SNE Feature 1,t-SNE Feature 2
HITBIY.search1.cif,-14.786375,-15.111605
XOGFOQ.search1.cif,-32.854847,-10.041086
DAGXUH.search1.cif,15.516548,-27.91651
PIRREP.search1.cif,-39.329075,-14.051407
ACESUY.search1.cif,-25.974905,-15.741927
EVUJEK.search1.cif,-13.459469,52.280285
BILXUP.search1.cif,-81.82414,27.281168
BOCSEU.search1.cif,55.996857,4.446743
DITJEW.search1.cif,-33.957375,-20.52663
XEMCIB.search1.cif,23.400734,56.474583
DOSPOS.search1.cif,6.6422606,-41.145916
TEHSAD.search1.cif,-5.474008,16.033525
POCVUB.search1.cif,18.311584,-66.242676
MOZCUA01.search1.cif,-24.80773,-44.95512
ZURWUH.search1.cif,32.739155,-12.709998
OKESEE.search1.cif,-6.2364297,-60.798958
CEKBAV.search1.cif,-102.75911,28.704226
PURHUH.search1.cif,-48.395153,1.9277606
IXUDIO.search1.cif,18.56631,-45.974205
BICGUR.search1.cif,29.185364,35.1026
EWIKAY.search1.cif,36.105736,-49.528366
CAVDOU.search1.cif,11.104995,-17.947487
SATWIU.search1.cif,-7.548167,25.343649
DUMWUG.search1.cif,43.10268,-23.990107
UHUFUA.search1.cif,-4.695013,-62.372543
OCAYIA.search1.cif,16.815968,-75.21955
QIMHOJ02.search1.cif,-75.04305,22.258099
NIGQEA.search1.cif,60.71863,-11.943264
ISIJIE.search1.cif,-58.461037,49.44957
XONBOT.search1.cif,-0.26988754,-63.903706
HUSBOO.search1.cif,59.96451,-21.041615
ZIPBIJ.search1.cif,-25.840052,-20.436155
KAXSIN.search1.cif,-19.228565,0.2309367
HUHDUK01.search1.cif,-69.599976,-0.25680938
VIVZOP.search1.cif,-61.80351,36.812485
VAGSII.search1.cif,14.623489,-19.040462
KOLROU.search1.cif,44.17584,8.487944
MINXUF.search1.cif,-81.31964,12.881219
OHANIU.search1.cif,-61.233173,29.94651
UYOTEI.search1.cif,-33.77847,27.149076
OPUNEU03.search1.cif,-27.210293,-44.89458
BASXOJ.search1.cif,-20.669884,33.65852
JANYON.search1.cif,41.88692,50.33395
VUGMOZ.search1.cif,-10.64864,-35.389748
CILCAD.search1.cif,17.692049,20.138144
ICUSUV.search1.cif,48.158146,6.69317
YAYLAO.search1.cif,3.8130326,23.481152
TTFTCQ03.search1.cif,-2.5981936,-87.421005
IGAMAH.search1.cif,15.415603,24.323944
TUFDAB.search1.cif,-67.30429,-1.3989818
DAQYUS.search1.cif,21.758064,-45.015377
KIHZOR.search1.cif,-13.673957,-53.63246
EBOHUY.search1.cif,-10.429684,-12.597742
LUDMUT.search1.cif,61.159054,17.811922
PYRFLR.search1.cif,64.50706,-11.600939
VOHKUA.search1.cif,32.861378,-46.97413
PUNXII.search1.cif,-8.501774,-6.632769
SUMNIZ.search1.cif,10.848298,31.210705
ULEYAN.search1.cif,14.87376,18.04948
CIHDUV.search1.cif,13.95998,-33.30202
OPULES01.search1.cif,-27.514204,-44.354664
TEVBII.search1.cif,44.760098,7.790477
SAQNIH.search1.cif,37.143475,-25.247091
ROWDEP.search1.cif,12.062924,-42.79372
FEJCUV.search1.cif,26.201195,-21.748224
XUBSUJ.search1.cif,-41.839413,0.98999184
IRAMEV.search1.cif,-75.04737,24.640703
NOVSOG.search1.cif,55.64022,-22.106232
ZUQFEY.search1.cif,-15.732072,9.910362
SAYQAM.search1.cif,6.0594473,-25.518715
XONCUA.search1.cif,-8.378127,-55.077236
GEQWUX.search1.cif,47.168537,53.96435
BOTJEA.search1.cif,35.135857,20.837765
ROTREZ.search1.cif,-53.285954,2.0950987
TUHMIS01.search1.cif,-7.3522835,-50.55015
AZOVUH.search1.cif,-78.56952,0.022768892
PAVTAI.search1.cif,-87.64229,34.30447
WIYPUR.search1.cif,26.381706,15.249797
JIHQUP.search1.cif,-42.194405,3.565753
PHTCBZ02.search1.cif,17.57394,-77.971375
ZIQFAI.search1.cif,-20.500275,-57.007946
YESDAE.search1.cif,6.1818504,28.911535
CIWDAO.search1.cif,-86.32762,17.529814
PEFGIS.search1.cif,-64.812675,39.910385
BORNUS.search1.cif,-1.8457218,-87.40627
RIXGOW.search1.cif,65.95327,13.91918
PUVGUJ.search1.cif,70.91784,16.037066
BZAPRM10.search1.cif,70.290085,-0.11960886
UDAMIW.search1.cif,40.54159,-52.300323
GOCJOY.search1.cif,64.05497,-0.40253413
HOWXAV01.search1.cif,-72.89531,-1.1568253
KIHXEF.search1.cif,-16.254028,-56.7889
LAZVIU.search1.cif,15.449149,15.427921
ZIRBIN.search1.cif,17.643675,-72.45599
REGKUL.search1.cif,-9.322589,-36.915936
RINPOW.search1.cif,51.621216,-27.152557
EXIQOT.search1.cif,63.456158,-4.4906926
JOJCUJ.search1.cif,-15.726305,27.272293
FUHYAL.search1.cif,20.58477,56.149914
HEFQUH.search1.cif,28.308693,-35.903828
HAHDEZ.search1.cif,23.042294,-17.743149
LAKKEO02.search1.cif,-10.433088,71.78415
QIWNUH.search1.cif,25.278858,-27.786406
OVUFOB.search1.cif,4.989422,-63.015682
QUFJIL.search1.cif,18.080975,-1.1256896
VIXWIL.search1.cif,22.642588,-71.87906
EJACEY.search1.cif,21.614168,65.1048
RAYQAJ.search1.cif,-3.1030536,-89.656555
QOTNIY.search1.cif,60.976143,7.157072
ZUDKER.search1.cif,-11.8468075,28.633675
YOKJOX.search1.cif,17.491798,75.978714
TEVRIW.search1.cif,49.414467,-27.645887
YUCVAU.search1.cif,23.177916,-37.88843
JOFBEO.search1.cif,40.889175,-11.9779215
NESGOK.search1.cif,5.9156494,40.045395
PEGDAH.search1.cif,37.239227,-46.40202
BULJID.search1.cif,-77.501175,1.9493674
WIHKIJ.search1.cif,58.398388,-0.46635795
XIBQUU.search1.cif,-19.05008,-17.596989
GIYMOT.search1.cif,-64.91569,32.375286
EHUJIC.search1.cif,27.210886,55.954483
EDAYUG.search1.cif,-62.141033,9.2541065
DAMPOZ.search1.cif,40.69017,-27.131897
IFUYUD.search1.cif,14.760675,9.480533
NIMHEX.search1.cif,10.800937,-23.176872
JOHJIA.search1.cif,31.526546,61.763645
GELKIT.search1.cif,39.00542,-33.239384
MUQKOZ.search1.cif,-4.2777333,-84.14502
BEFCEW.search1.cif,43.268314,29.862679
QEVJAF.search1.cif,1.7824292,50.832813
EFUQAZ.search1.cif,68.09352,13.307356
JOQKAE.search1.cif,14.894248,-3.7049162
HEDRIT.search1.cif,-38.670593,-0.6902333
YICLEE.search1.cif,33.28389,46.34205
NAHMUH.search1.cif,-47.024776,27.150187
RUYGIC.search1.cif,-23.311264,-2.8757353
ZUPYIV.search1.cif,13.994282,68.01322
HOGFUG.search1.cif,-59.494907,45.304424
HIPWOU.search1.cif,49.71501,37.200615
HEMDOV.search1.cif,-64.42111,12.706423
TARWAL.search1.cif,-2.3542824,41.91884
JILSIJ.search1.cif,48.85386,2.2239559
YANNIN.search1.cif,35.266033,-62.561836
EZIZAQ.search1.cif,47.485893,43.073883
VUZCIC.search1.cif,2.3417728,-19.12952
TAWFAB.search1.cif,25.709867,-70.86443
CUMZIU.search1.cif,22.692162,62.44681
KIJTAA.search1.cif,-12.47562,-64.47784
VERJUY.search1.cif,-52.298935,-28.78513
IFIMUG.search1.cif,13.703106,-23.49528
GILCEK.search1.cif,-9.873921,66.23449
VIPYOL.search1.cif,71.329994,0.6510994
DISWEK.search1.cif,58.488453,28.378027
AYEBIP.search1.cif,-58.825146,38.515816
HUMQUB.search1.cif,25.141514,6.9303417
MICGOV.search1.cif,11.166778,23.344784
NOJFIE.search1.cif,57.578857,-16.706556
ISEKAS.search1.cif,38.114414,-49.111755
XOSSED.search1.cif,46.96339,-24.327637
ZILHAG.search1.cif,-15.895834,62.58712
XOTYUB01.search1.cif,-6.10537,-54.260094
DUSKUY.search1.cif,-47.218487,-15.736844
PMPZOL04.search1.cif,27.504541,-58.83323
PEBZEE.search1.cif,-65.60221,4.649334
GEHROB.search1.cif,33.26957,-49.55458
PEGXEG.search1.cif,-7.341338,-5.5553093
DUPDUQ.search1.cif,36.68251,-23.015406
LOWNUJ.search1.cif,21.511929,-68.2131
YIBLUT.search1.cif,51.70224,45.79166
POVXAC.search1.cif,-24.085474,-44.135677
AXUFIJ.search1.cif,-5.5846887,-48.231052
QUHQIV01.search1.cif,-70.19837,35.130802
COZYOG.search1.cif,-67.03493,13.031252
DPHETH.search1.cif,76.43487,-23.605324
IDAQAG.search1.cif,-58.063545,52.173157
XUFQEV.search1.cif,-11.133587,44.48696
FIZHAZ.search1.cif,50.662067,53.277695
SEMPEI01.search1.cif,17.239782,-84.58785
ESATUN.search1.cif,-39.981354,-15.989293
NAVNAC01.search1.cif,-86.85374,-3.922186
YUFQOH.search1.cif,43.239456,-29.574408
VUKFIS.search1.cif,-15.550607,18.948843
QOKVOE.search1.cif,41.205055,52.702297
CEKLAH.search1.cif,27.544388,-37.561733
ZICGIE.search1.cif,-25.051558,-42.674
IGISEZ.search1.cif,-67.49432,8.90423
MUYTAC.search1.cif,-88.46211,19.288448
QAYXEU.search1.cif,3.6635826,79.06161
WUPGUK.search1.cif,-15.745582,-67.2102
VUTNAB.search1.cif,-37.81184,-7.6716456
POVGUE.search1.cif,25.416319,-65.22012
ZEHSOX.search1.cif,-85.68888,-4.795906
BIJFUW.search1.cif,32.7284,-7.470462
NUSLUK.search1.cif,-29.989569,-66.54146
FARTOJ.search1.cif,37.797455,17.32328
SUKMIX.search1.cif,62.94406,17.404078
QIMJAX.search1.cif,-97.40522,28.15739
EMUBIX.search1.cif,7.309771,20.799963
ALUBOY01.search1.cif,90.21282,-21.139627
BECPIL01.search1.cif,-26.675306,-68.70714
XUQWIQ.search1.cif,69.66842,2.1549478
XORMAU.search1.cif,13.710371,46.156315
ZEFTUB.search1.cif,-35.977448,-10.598765
DUTQOA.search1.cif,26.773697,22.872614
PALBOU.search1.cif,8.78069,20.572338
IRUTEW.search1.cif,70.43201,1.8049515
ZOKYUV.search1.cif,-91.326706,30.252953
VOZNIJ.search1.cif,70.47234,-26.70093
EQOFIZ.search1.cif,45.354885,19.293915
VUXXET.search1.cif,-6.1495194,-41.031593
NEWPIP.search1.cif,-5.538894,-7.073561
DOSZES.search1.cif,7.959585,-43.58316
PEZNAK.search1.cif,34.030113,24.278374
UWOKIC.search1.cif,-19.053883,-56.325447
QOVPIC.search1.cif,74.85863,-20.48469
ULIZUM.search1.cif,-84.493965,13.737142
TIWPOH.search1.cif,-92.52423,29.376965
XUNGUI.search1.cif,-17.368982,49.45299
HOMZOZ.search1.cif,28.791273,34.62752
SIZFUE.search1.cif,56.128773,42.096718
JIZJOR04.search1.cif,67.93899,13.890867
HELXOO.search1.cif,-4.886354,-26.81743
XOBROW.search1.cif,-59.89751,-3.3572094
FUVQUK.search1.cif,43.432487,-27.05063
HOWZIF02.search1.cif,-7.981415,-43.146317
